dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage,clf_variant
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.10175543782877489,0.024389692912993373,,,,,,,,,,,,,,,0.5281962526400052,0.5217842102342868,0.76,0.68,1.0,1.0,,2.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.011039099073968828,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.1317358517744129,0.054595884771423964,,,,,,,,,,,,,,,0.6163489528986477,0.613018622853604,0.76,0.68,1.0,1.0,,2.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.051424149074591696,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.07982326745986938,0.007363146543502808,,,,,,,,,,,,,,,0.4776093679679627,0.48293500821359286,0.76,0.68,1.0,1.0,,2.0,xgboost
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.3054721810622141,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.07734242864997513,0.005023559146151232,,,,,,,,,,,,,,,0.4370137954587176,0.4444244461574218,0.76,0.68,1.0,1.0,,2.0,random_forest
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.2731754139531404,,0.76,0.68,0.855,0.8275,0.625,0.5285204991087344,0.10139073308433927,0.02783200052151919,,,,,,,,,,,,,,,0.5447106301274947,0.5446012055345885,1.0,0.98,1.58,1.61,,2.0,miss
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.52,0.65,0.8083333333333332,0.7908333333333334,0.4852941176470588,0.4153297682709447,0.16975212639555742,0.08756410437778821,,,,,,,,,,,,,,,0.583602072180018,0.567178849075501,1.0,0.98,1.86,1.83,,3.0,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.07666223355616765,0.003809770541495714,,,,,,,,,,,,,,,0.44315110855944284,0.44947632311448693,0.76,0.68,1.0,1.0,,3.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.00959021900780499,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.11059832241496739,0.03558774572383339,,,,,,,,,,,,,,,0.5630844081604502,0.5635811526651836,0.76,0.68,1.0,1.0,,3.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.04952656291425228,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.07982326745986938,0.007363146543502808,,,,,,,,,,,,,,,0.4776093679679627,0.48293500821359286,0.76,0.68,1.0,1.0,,3.0,xgboost
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.29835292394272983,,0.66,0.67,0.66,0.67,0.49999999999999994,0.49999999999999994,0.0819152591705996,0.012262622055997478,,,,,,,,,,,,,,,0.43484406672959125,0.44276105192503507,0.66,0.67,1.0,1.0,,3.0,random_forest
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",1.3957208989886567,,0.76,0.68,0.855,0.8275,0.625,0.5285204991087344,0.07310074657420898,0.0098427605063063,,,,,,,,,,,,,,,0.44172972228820706,0.4495924213747065,1.0,0.98,1.58,1.61,,3.0,miss
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.62,0.53,0.8083333333333332,0.7908333333333334,0.5202205882352942,0.5057932263814617,0.16942724159195519,0.0866587262759129,,,,,,,,,,,,,,,0.5822109116202043,0.563790480714875,1.0,0.98,1.86,1.83,,4.0,
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.74,0.68,0.74,0.68,0.6176470588235294,0.5155971479500892,0.07095843403771876,0.004341124321407351,,,,,,,,,,,,,,,0.4367732990269362,0.4451898883449587,0.74,0.68,1.0,1.0,,4.0,nb
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.010690137976780534,,0.74,0.68,0.74,0.68,0.6176470588235294,0.5155971479500892,0.09146394517872508,0.03011955201539083,,,,,,,,,,,,,,,0.5452964964475288,0.5480808640963692,0.74,0.68,1.0,1.0,,4.0,logreg
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.0703181519638747,,0.76,0.68,0.875,0.825,0.625,0.5285204991087344,0.06948517978191375,0.005880780220031738,,,,,,,,,,,,,,,0.4653451295065886,0.4745992489023619,1.0,0.97,1.5,1.58,,4.0,xgboost
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.2881934199249372,,0.76,0.68,0.76,0.68,0.625,0.5285204991087344,0.05320672997876777,0.006637733997233315,,,,,,,,,,,,,,,0.42564839846011354,0.43952038274229116,0.76,0.68,1.0,1.0,,4.0,random_forest
61,15,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",10.880173407960683,,0.76,0.68,0.875,0.825,0.625,0.5285204991087344,0.05409086749761748,0.0065290986631655655,,,,,,,,,,,,,,,0.4293883672520624,0.4429926623816226,1.0,0.97,1.5,1.58,,4.0,miss
