dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",1.5189754962921143,0.028564453125,0.7692307692307693,0.8311688311688312,0.7692307692307693,0.8311688311688312,0.5394736842105263,0.675,0.20499748617395677,2.1627721258931622e-17,0.744736842105263,0.8958333333333334,-0.2211648813572689,-0.11901196842373316,0.7894736842105263,0.8,0.8947368421052632,1.0,0.75,0.9,0.15,0.375,0.7692307692307693,0.8470588235294118,0.5632563974793161,0.5233309304804478,0.7692307692307693,0.8311688311688312,1.0,1.0,3.0,
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.48717948717948717,0.5844155844155844,0.48717948717948717,0.5844155844155844,0.0,0.0,0.09723609723609722,2.220446049250313e-16,0.5,0.5,-0.2592904930567269,-0.2428740091077753,1.0,1.0,1.0,1.0,0.48717948717948717,0.5844155844155844,0.0,0.0,0.6551724137931034,0.7377049180327869,0.9793399259567798,0.97933992595678,0.48717948717948717,0.5844155844155844,1.0,1.0,,0.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5384615384615384,0.7142857142857143,0.5384615384615384,0.7142857142857143,0.07105263157894726,0.46597222222222223,0.16550116550116536,0.0,0.5355263157894736,0.7329861111111111,-0.2898919262555627,-0.19057457693821334,0.42105263157894735,0.6222222222222222,1.0,1.0,0.5333333333333333,0.8484848484848485,0.0,0.0,0.47058823529411764,0.717948717948718,0.8282613062846759,0.812929714378583,0.5384615384615384,0.7142857142857143,1.0,1.0,,1.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.6410256410256411,0.7532467532467533,0.6410256410256411,0.7532467532467533,0.27105263157894743,0.5597222222222222,0.10715249662618082,0.0,0.5907894736842105,0.7840277777777779,-0.24193037699962902,-0.1650489861016177,0.42105263157894735,0.6222222222222222,1.0,1.0,0.7272727272727273,0.9333333333333333,0.0,0.0,0.5333333333333333,0.7466666666666667,0.779725557780289,0.7135664823620143,0.6410256410256411,0.7532467532467533,1.0,1.0,,2.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.717948717948718,0.8051948051948052,0.717948717948718,0.8051948051948052,0.4368421052631577,0.6125,0.12410968660968662,6.920870802858119e-17,0.7276315789473684,0.8510416666666667,-0.22386992026748972,-0.14281204906204908,0.7368421052631579,0.8,0.9473684210526315,1.0,0.7,0.8571428571428571,0.0,0.09375,0.717948717948718,0.8275862068965517,0.7108705801993468,0.6361803108404054,0.717948717948718,0.8051948051948052,1.0,1.0,,3.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7435897435897436,0.8181818181818182,0.7435897435897436,0.8181818181818182,0.48421052631578965,0.64375,0.1257187257187257,3.892989826607692e-17,0.7355263157894736,0.8736111111111111,-0.21067646158555248,-0.130499803227076,0.6842105263157895,0.8,0.9473684210526315,1.0,0.7647058823529411,0.8780487804878049,0.15,0.28125,0.7222222222222222,0.8372093023255814,0.6535482902038735,0.5804367256228657,0.7435897435897436,0.8181818181818182,1.0,1.0,,4.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7435897435897436,0.8311688311688312,0.7435897435897436,0.8311688311688312,0.48421052631578965,0.675,0.11679517064132447,4.181359443393447e-17,0.7513157894736842,0.8847222222222222,-0.20909993976696503,-0.12185563354394527,0.6842105263157895,0.8,0.9473684210526315,1.0,0.7647058823529411,0.9,0.15,0.34375,0.7222222222222222,0.8470588235294118,0.6376113990969727,0.5482766850357775,0.7435897435897436,0.8311688311688312,1.0,1.0,,5.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7435897435897436,0.8311688311688312,0.7435897435897436,0.8311688311688312,0.48421052631578965,0.675,0.15731157731157736,1.2111523905001707e-16,0.7157894736842104,0.8916666666666667,-0.22479373690282783,-0.11966942148760333,0.6842105263157895,0.8,0.8947368421052632,1.0,0.7647058823529411,0.9,0.15,0.375,0.7222222222222222,0.8470588235294118,0.6254664961140539,0.5342378318535619,0.7435897435897436,0.8311688311688312,1.0,1.0,,6.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7692307692307693,0.8311688311688312,0.7692307692307693,0.8311688311688312,0.5394736842105263,0.675,0.1990837104072398,0.0,0.7394736842105262,0.8954861111111111,-0.22094264650430304,-0.11906608097784568,0.7894736842105263,0.8,0.8947368421052632,1.0,0.75,0.9,0.15,0.375,0.7692307692307693,0.8470588235294118,0.5886771470780716,0.5245809439940958,0.7692307692307693,0.8311688311688312,1.0,1.0,,7.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7692307692307693,0.8311688311688312,0.7692307692307693,0.8311688311688312,0.5394736842105263,0.675,0.20499748617395677,2.1627721258931622e-17,0.744736842105263,0.8958333333333334,-0.2211648813572689,-0.11901196842373316,0.7894736842105263,0.8,0.8947368421052632,1.0,0.75,0.9,0.15,0.375,0.7692307692307693,0.8470588235294118,0.5632563974793161,0.5233309304804478,0.7692307692307693,0.8311688311688312,1.0,1.0,,8.0
42900,5,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.7692307692307693,0.8311688311688312,0.7692307692307693,0.8311688311688312,0.5394736842105263,0.675,0.20499748617395677,2.1627721258931622e-17,0.744736842105263,0.8958333333333334,-0.2211648813572689,-0.11901196842373316,0.7894736842105263,0.8,0.8947368421052632,1.0,0.75,0.9,0.15,0.375,0.7692307692307693,0.8470588235294118,0.5632563974793161,0.5233309304804478,0.7692307692307693,0.8311688311688312,1.0,1.0,,9.0
