dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage,clf_variant
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",797.6684839725494,0.02295994758605957,0.7281879194630873,0.7548573790822654,0.7640520134228188,0.7889279316521979,0.6183593026975919,0.6482704419327155,0.038874519431584646,0.02118261644777116,,,,,,,,,,,,,,,0.40544134510203317,0.3939873848568097,0.8028523489932886,0.8247209590739976,1.191275167785235,1.1703183133526252,3.0,,
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.3766778523489933,0.3732947498966515,0.5543204697986577,0.5534311699049194,0.0075708935259496775,0.006611347230655114,0.06687157119419718,0.06292490733897937,,,,,,,,,,,,,,,0.7583751377956413,0.7583751377956414,0.7390939597315436,0.7379082265398925,2.0,2.0,,0.0,
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.0035367710515856743,,0.44043624161073824,0.4353038445638694,0.44043624161073824,0.4353038445638694,0.0,0.0,0.005132397046869075,1.1102230246251565e-16,,,,,,,,,,,,,,,0.7448254381788618,0.7448254381788619,0.44043624161073824,0.4353038445638694,1.0,1.0,,0.0,nb
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.44043624161073824,0.4353038445638694,0.44043624161073824,0.4353038445638694,0.0,0.0,0.005132397046868908,0.0,,,,,,,,,,,,,,,0.744825438178862,0.7448254381788619,0.44043624161073824,0.4353038445638694,1.0,1.0,,0.0,logreg
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.44043624161073824,0.4353038445638694,0.44043624161073824,0.4353038445638694,0.0,0.0,0.005132397046868908,0.0,,,,,,,,,,,,,,,0.744825438178862,0.7448254381788619,0.44043624161073824,0.4353038445638694,1.0,1.0,,0.0,xgboost
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.44043624161073824,0.4353038445638694,0.44043624161073824,0.4353038445638694,0.0,0.0,0.005132397046868908,0.0,,,,,,,,,,,,,,,0.744825438178862,0.7448254381788619,0.44043624161073824,0.4353038445638694,1.0,1.0,,0.0,random_forest
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.44043624161073824,0.4353038445638694,0.44043624161073824,0.4353038445638694,0.0,0.0,0.005132397046868908,0.0,,,,,,,,,,,,,,,0.744825438178862,0.7448254381788619,0.44043624161073824,0.4353038445638694,1.0,1.0,,0.0,miss
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.4974832214765101,0.4890450599421248,0.597734899328859,0.5946672178586193,0.08841804886748712,0.08448538913019792,0.06690265844264205,0.06824930706577714,,,,,,,,,,,,,,,0.6598115326621505,0.6630298336097263,0.6988255033557047,0.6986357999173212,1.5453020134228188,1.5601488218272013,,1.0,
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5528523489932886,0.5460934270359653,0.5528523489932886,0.5460934270359653,0.1779133226324238,0.1732637429358741,0.004703706573566516,0.0004994158213545323,,,,,,,,,,,,,,,0.6513162417577555,0.653902660993996,0.5528523489932886,0.5460934270359653,1.0,1.0,,1.0,nb
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.015548962983302772,,0.5528523489932886,0.5460934270359653,0.5528523489932886,0.5460934270359653,0.1779133226324238,0.1732637429358741,0.005227160106595931,0.001019218996363784,,,,,,,,,,,,,,,0.6534807042586583,0.656009888245305,0.5528523489932886,0.5460934270359653,1.0,1.0,,1.0,logreg
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.1828051139600575,,0.5528523489932886,0.5460934270359653,0.5528523489932886,0.5460934270359653,0.1779133226324238,0.1732637429358741,0.0042152351781025825,0.0001665245111740636,,,,,,,,,,,,,,,0.6503890176626014,0.6529986925024691,0.5528523489932886,0.5460934270359653,1.0,1.0,,1.0,xgboost
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.28598981094546616,,0.5528523489932886,0.5460934270359653,0.5528523489932886,0.5460934270359653,0.1779133226324238,0.1732637429358741,0.0037528626637554916,0.0004474460330561591,,,,,,,,,,,,,,,0.6495625555539118,0.6522003856304344,0.5528523489932886,0.5460934270359653,1.0,1.0,,1.0,random_forest
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.6148532819934189,,0.5528523489932886,0.5460934270359653,0.5528523489932886,0.5460934270359653,0.1779133226324238,0.1732637429358741,0.04056824129235041,0.04540154473675892,,,,,,,,,,,,,,,0.6293199699649507,0.6316386796591671,0.5528523489932886,0.5460934270359653,1.0,1.0,,1.0,miss
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5109060402684564,0.5361719718892104,0.6675755033557047,0.6749689954526664,0.25310488058151615,0.2583443805183867,0.04245529799591977,0.042090651100933164,,,,,,,,,,,,,,,0.6293127198583788,0.6317907870489796,0.8011744966442953,0.8131459280694502,1.6031879194630871,1.6126498553121125,,2.0,
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5461409395973155,0.5436130632492766,0.5461409395973155,0.5436130632492766,0.12219725343320853,0.12166773050197459,0.015412709275856196,0.010673051174307564,,,,,,,,,,,,,,,0.582562349218918,0.5838676565319941,0.5461409395973155,0.5436130632492766,1.0,1.0,,2.0,nb
player,0,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",msl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",0.021670807036571205,,0.5469798657718121,0.5477470028937578,0.5469798657718121,0.5477470028937578,0.1330800784733369,0.1337176114043145,0.00779778557499761,0.005463452615466671,,,,,,,,,,,,,,,0.576475612658628,0.5777483860547555,0.5469798657718121,0.5477470028937578,1.0,1.0,,2.0,logreg
