dataset,fold,params,clf,score_set,fit_time,score_time,test_acc,train_acc,test_aaacc,train_aaacc,test_bacc,train_bacc,test_ece,train_ece,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_cov,train_cov,test_eff,train_eff,n_features,stage
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",1.5443994998931885,0.0561983585357666,0.5897435897435898,0.8701298701298701,0.5897435897435898,0.8701298701298701,0.12566844919786102,0.7142857142857144,0.26573426573426573,3.172065784643304e-17,0.643048128342246,0.9394557823129251,-0.3069657615112161,-0.08466857817507169,0.7727272727272727,1.0,0.7727272727272727,1.0,0.6071428571428571,0.8076923076923077,0.35294117647058826,0.7142857142857143,0.68,0.8936170212765957,0.3973960775890466,0.34865416469065585,0.5897435897435898,0.8701298701298701,1.0,1.0,3.0,
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5641025641025641,0.5454545454545454,0.5641025641025641,0.5454545454545454,0.0,0.0,0.01864801864801846,0.0,0.5,0.5,-0.2462386098749736,-0.2479338842975207,1.0,1.0,1.0,1.0,0.5641025641025641,0.5454545454545454,0.0,0.0,0.7213114754098361,0.7058823529411765,0.994030211476956,0.9940302114769562,0.5641025641025641,0.5454545454545454,1.0,1.0,,0.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5384615384615384,0.7532467532467533,0.5384615384615384,0.7532467532467533,0.10160427807486627,0.538095238095238,0.23063627730294398,3.892989826607692e-17,0.5508021390374331,0.7690476190476191,-0.2999410924694874,-0.16976430976430976,0.45454545454545453,0.5952380952380952,1.0,1.0,0.625,0.9259259259259259,0.0,0.0,0.5263157894736842,0.7246376811594203,0.7016916816837422,0.7341102995155458,0.5384615384615384,0.7532467532467533,1.0,1.0,,1.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5384615384615384,0.7662337662337663,0.5384615384615384,0.7662337662337663,0.10160427807486627,0.5666666666666667,0.23728668210273557,3.7488050182148143e-17,0.536096256684492,0.8122448979591836,-0.3188825972519667,-0.15167441254397776,0.45454545454545453,0.5952380952380952,0.9545454545454546,1.0,0.625,0.9615384615384616,0.0,0.14285714285714285,0.5263157894736842,0.7352941176470589,0.6325775089351396,0.6471501395580196,0.5384615384615384,0.7662337662337663,1.0,1.0,,2.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5384615384615384,0.7662337662337663,0.5384615384615384,0.7662337662337663,0.10160427807486627,0.5666666666666667,0.2261669953977646,5.623207527322221e-17,0.570855614973262,0.8605442176870748,-0.3081643318329709,-0.13320013320013321,0.45454545454545453,0.5952380952380952,0.8636363636363636,1.0,0.625,0.9615384615384616,0.11764705882352941,0.34285714285714286,0.5263157894736842,0.7352941176470589,0.5502353434259205,0.5362494821625303,0.5384615384615384,0.7662337662337663,1.0,1.0,,3.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.31550802139037426,0.7095238095238097,0.18461538461538463,4.469729060179201e-17,0.6537433155080214,0.922108843537415,-0.27678321678321677,-0.10472255017709564,0.7272727272727273,0.8809523809523809,0.8636363636363636,1.0,0.6956521739130435,0.8604651162790697,0.11764705882352941,0.34285714285714286,0.7111111111111111,0.8705882352941177,0.46665880278722044,0.44982863401223133,0.6666666666666666,0.8571428571428571,1.0,1.0,,4.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5641025641025641,0.8441558441558441,0.5641025641025641,0.8441558441558441,0.0668449197860963,0.657142857142857,0.2777777777777778,0.0,0.6029411764705882,0.9299319727891155,-0.32961945461945463,-0.0943104514533086,0.7727272727272727,1.0,0.7727272727272727,1.0,0.5862068965517241,0.7777777777777778,0.29411764705882354,0.6571428571428571,0.6666666666666666,0.875,0.4061674755507165,0.3838791446700531,0.5641025641025641,0.8441558441558441,1.0,1.0,,5.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5897435897435898,0.8701298701298701,0.5897435897435898,0.8701298701298701,0.12566844919786102,0.7142857142857144,0.26573426573426573,3.172065784643304e-17,0.643048128342246,0.9394557823129251,-0.3069657615112161,-0.08466857817507169,0.7727272727272727,1.0,0.7727272727272727,1.0,0.6071428571428571,0.8076923076923077,0.35294117647058826,0.7142857142857143,0.68,0.8936170212765957,0.3973960775890466,0.34865416469065585,0.5897435897435898,0.8701298701298701,1.0,1.0,,6.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5897435897435898,0.8701298701298701,0.5897435897435898,0.8701298701298701,0.12566844919786102,0.7142857142857144,0.26573426573426573,3.172065784643304e-17,0.643048128342246,0.9394557823129251,-0.3069657615112161,-0.08466857817507169,0.7727272727272727,1.0,0.7727272727272727,1.0,0.6071428571428571,0.8076923076923077,0.35294117647058826,0.7142857142857143,0.68,0.8936170212765957,0.3973960775890466,0.34865416469065585,0.5897435897435898,0.8701298701298701,1.0,1.0,,7.0
42900,24,"{'score_set': '(-3, -2, -1, 0, 1, 2, 3)'}",psl_prebin,"(-3, -2, -1, 0, 1, 2, 3)",,,0.5897435897435898,0.8701298701298701,0.5897435897435898,0.8701298701298701,0.12566844919786102,0.7142857142857144,0.26573426573426573,3.172065784643304e-17,0.643048128342246,0.9394557823129251,-0.3069657615112161,-0.08466857817507169,0.7727272727272727,1.0,0.7727272727272727,1.0,0.6071428571428571,0.8076923076923077,0.35294117647058826,0.7142857142857143,0.68,0.8936170212765957,0.3973960775890466,0.34865416469065585,0.5897435897435898,0.8701298701298701,1.0,1.0,,8.0
