dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,stage_loss,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,4.497851610183716,0.0227963924407959,0.8762626262626263,0.8816936488169365,0.6490002040399918,0.7115801256589875,0.887880024484799,0.8710189932837438,-0.0901446470703427,-0.0862950738883233,0.3275862068965517,0.4672131147540984,0.8620689655172413,0.8770491803278688,0.6551724137931034,0.6551724137931034,0.7514792899408284,0.6930983847283406,0.4367816091954023,0.5454545454545454,0.37222372824615885,0.4103782111472167,0.41414141414141414,0.4470734744707347,,,,,,,,,,,,,,,,,,
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.1250426267485583,-0.12884745715397894,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146497789881832,0.6146497789881832,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.1250426267485583,-0.12884745715397894,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146497789881832,0.6146497789881832,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,logreg
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.5,0.5,-0.1250426267485583,-0.12884745715397894,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146497789881832,0.6146497789881832,0.8535353535353535,0.8480697384806973,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.0,logreg_unregularized
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.6824627627014895,0.7162803013889892,-0.10911794989857669,-0.10870687911783802,0.0,0.0,0.46551724137931033,0.5573770491803278,0.0,0.0,0.8994082840236687,0.8751835535976505,0.0,0.0,0.5019871717624023,0.5230866923888586,0.8686868686868687,0.7783312577833126,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,0.8480697384806973,0.8535353535353535,1.0,
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.6824627627014895,0.7162803013889892,-0.10909622479665293,-0.10875044326484452,0.0,0.0,0.46551724137931033,0.5573770491803278,0.0,0.0,0.8994082840236687,0.8751835535976505,0.0,0.0,0.5105364291215583,0.5310548397333843,0.8686868686868687,0.7783312577833126,,,,,,,,,,,,,,,,,1.0,logreg
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.6824627627014895,0.7162803013889892,-0.10911791247203483,-0.10870687912232502,0.0,0.0,0.46551724137931033,0.5573770491803278,0.0,0.0,0.8994082840236687,0.8751835535976505,0.0,0.0,0.5019940727671361,0.5230933000221523,0.8686868686868687,0.7783312577833126,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7921597633136095,0.7879384222816013,-0.10456784861003467,-0.10601323597170016,0.0,0.0,0.9137931034482759,0.8934426229508197,0.0,0.0,0.5562130177514792,0.5256975036710719,0.0,0.0,0.4759182800361122,0.4986511460170656,0.5050505050505051,0.564134495641345,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,0.564134495641345,0.5050505050505051,2.0,
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8535353535353535,0.8480697384806973,0.5,0.5,0.7921597633136095,0.7879384222816013,-0.10573859809265684,-0.10705692701554365,0.0,0.0,0.9137931034482759,0.8934426229508197,0.0,0.0,0.5562130177514792,0.5256975036710719,0.0,0.0,0.49623549133740846,0.511861225118916,0.5050505050505051,0.564134495641345,,,,,,,,,,,,,,,,,2.0,logreg
thorax,40,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'isotonic')"", 'stage_loss': 'soft_ranking_loss'}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'isotonic')",soft_ranking_loss,,,0.8358585858585859,0.8368617683686177,0.6753213629871455,0.6784201150670423,0.7921597633136095,0.7879384222816013,-0.10597991685565072,-0.10714908741201246,0.4482758620689655,0.45081967213114754,0.9137931034482759,0.8934426229508197,0.4406779661016949,0.46218487394957986,0.5562130177514792,0.5256975036710719,0.4444444444444444,0.45643153526970953,0.4876251056965126,0.5038027125980792,0.5050505050505051,0.564134495641345,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
